mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_nn_model__batch_size,param_nn_model__dropout,param_nn_model__epochs,param_nn_model__input_dim,param_nn_model__learning_rate,param_nn_model__nodes_per_layer,param_nn_model__optimizer,params,split0_test_percentile99,split1_test_percentile99,mean_test_percentile99,std_test_percentile99,rank_test_percentile99,split0_test_MAPE,split1_test_MAPE,mean_test_MAPE,std_test_MAPE,rank_test_MAPE
124.24990260601044,2.431053042411804,5.722639560699463,0.5302422046661377,64,0.2,100,22,0.005,"(10, 10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.2, 'nn_model__epochs': 100, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.005, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-284.49597340944547,-109.9803598022458,-197.23816660584563,87.25780680359983,129,-59.19703152875116,-44.608829498291016,-51.902930513521085,7.294101015230073,94
111.01347577571869,0.5425673723220825,5.417718529701233,0.4824565649032593,64,0.2,100,22,0.01,"(10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.2, 'nn_model__epochs': 100, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.01, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-107.30661798957667,-213.45178924560545,-160.37920361759106,53.072585628014394,114,-52.50337930137894,-46.07160186767578,-49.28749058452736,3.2158887168515804,89
128.77317798137665,3.1218162775039673,5.148364305496216,0.20855355262756348,64,0.2,100,22,0.01,"(10, 10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.2, 'nn_model__epochs': 100, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.01, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-139.76620102419446,-426.53670166015615,-283.1514513421753,143.38525031798085,139,-87.71316192269781,-105.6402816772461,-96.67672179997194,8.963559877274143,138
220.9048309326172,1.110670804977417,5.0158244371414185,0.022861123085021973,64,0.2,200,22,0.001,"(10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.2, 'nn_model__epochs': 200, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.001, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-99.6286437861311,-99.82556495666503,-99.72710437139807,0.09846058526697021,46,-39.421792301055056,-39.386940002441406,-39.404366151748235,0.017426149306825067,40
253.59644639492035,3.945459246635437,5.062418341636658,0.03213536739349365,64,0.2,200,22,0.001,"(10, 10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.2, 'nn_model__epochs': 200, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.001, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-98.20289175607087,-112.50434799194265,-105.35361987400677,7.150728117935891,67,-42.64836475319892,-41.74867248535156,-42.19851861927524,0.44984613392367834,56
224.8401130437851,2.828203797340393,5.144354343414307,0.142775297164917,64,0.2,200,22,0.005,"(10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.2, 'nn_model__epochs': 200, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.005, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-98.67520137695323,-99.02152938842772,-98.84836538269047,0.17316400573724877,20,-45.59267847134182,-38.88022994995117,-42.2364542106465,3.356224260695324,57
256.48510134220123,7.519579529762268,5.119000792503357,0.11657440662384033,64,0.2,200,22,0.005,"(10, 10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.2, 'nn_model__epochs': 200, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.005, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-99.94765508571895,-98.88573593139645,-99.4166955085577,0.5309595771612479,38,-49.600168458326436,-53.53739547729492,-51.56878196781068,1.9686135094842427,93
225.04553627967834,0.539222002029419,4.992549538612366,0.06270158290863037,64,0.2,200,22,0.01,"(10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.2, 'nn_model__epochs': 200, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.01, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-132.94127189456225,-99.99971771240234,-116.4704948034823,16.470777091079952,85,-48.39143764935173,-98.30831146240234,-73.34987455587704,24.958436906525307,120
258.8509658575058,6.756926417350769,5.146545052528381,0.023723244667053223,64,0.2,200,22,0.01,"(10, 10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.2, 'nn_model__epochs': 200, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.01, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-106.9405478738166,-99.99820709228516,-103.46937748305088,3.471170390765721,63,-100.78006712681953,-89.51126098632812,-95.14566405657382,5.634403070245703,136
338.34049689769745,5.511165976524353,5.10377824306488,0.015440106391906738,64,0.2,300,22,0.001,"(10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.2, 'nn_model__epochs': 300, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.001, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-98.19692124204988,-99.66966567993164,-98.93329346099077,0.736372218940879,24,-40.50207247116723,-41.12736892700195,-40.81472069908459,0.3126482279173608,50
